633565.txt P:0.400000 R:0.500000 F:0.444444
586915.txt P:0.000000 R:0.000000 F:0.000000
585789.txt P:0.000000 R:0.000000 F:0.000000
608686.txt P:0.000000 R:0.000000 F:0.000000
587873.txt P:0.200000 R:0.250000 F:0.222222
225541.txt P:0.200000 R:0.333333 F:0.250000
593308.txt P:0.200000 R:0.250000 F:0.222222
297115.txt P:0.000000 R:0.000000 F:0.000000
587858.txt P:0.000000 R:0.000000 F:0.000000
244436.txt P:0.000000 R:0.000000 F:0.000000
628254.txt P:0.200000 R:0.200000 F:0.200000
589300.txt P:0.000000 R:0.000000 F:0.000000
266408.txt P:0.200000 R:0.100000 F:0.133333
266441.txt P:0.000000 R:0.000000 F:0.000000
258212.txt P:0.000000 R:0.000000 F:0.000000
263452.txt P:0.000000 R:0.000000 F:0.000000
240909.txt P:0.000000 R:0.000000 F:0.000000
276485.txt P:0.400000 R:0.333333 F:0.363636
587825.txt P:0.000000 R:0.000000 F:0.000000
301412.txt P:0.000000 R:0.000000 F:0.000000
277910.txt P:0.200000 R:0.250000 F:0.222222
189489.txt P:0.000000 R:0.000000 F:0.000000
627222.txt P:0.000000 R:0.000000 F:0.000000
1035752.txt P:0.000000 R:0.000000 F:0.000000
271798.txt P:0.000000 R:0.000000 F:0.000000
593526.txt P:0.000000 R:0.000000 F:0.000000
255883.txt P:0.000000 R:0.000000 F:0.000000
599447.txt P:0.000000 R:0.000000 F:0.000000
609180.txt P:0.000000 R:0.000000 F:0.000000
614304.txt P:0.250000 R:0.333333 F:0.285714
589096.txt P:0.000000 R:0.000000 F:0.000000
347309.txt P:0.000000 R:0.000000 F:0.000000
174610.txt P:0.200000 R:0.200000 F:0.200000
635468.txt P:0.000000 R:0.000000 F:0.000000
599497.txt P:0.000000 R:0.000000 F:0.000000
333696.txt P:0.000000 R:0.000000 F:0.000000
1024079.txt P:0.000000 R:0.000000 F:0.000000
589112.txt P:0.200000 R:0.200000 F:0.200000
570558.txt P:0.250000 R:0.111111 F:0.153846
353382.txt P:0.000000 R:0.000000 F:0.000000
290287.txt P:0.000000 R:0.000000 F:0.000000
628028.txt P:0.000000 R:0.000000 F:0.000000
507260.txt P:0.000000 R:0.000000 F:0.000000
1013707.txt P:0.000000 R:0.000000 F:0.000000
249976.txt P:0.000000 R:0.000000 F:0.000000
509594.txt P:0.000000 R:0.000000 F:0.000000
595077.txt P:0.000000 R:0.000000 F:0.000000
545340.txt P:0.000000 R:0.000000 F:0.000000
613633.txt P:0.200000 R:0.200000 F:0.200000
266821.txt P:0.000000 R:0.000000 F:0.000000
598167.txt P:0.200000 R:0.166667 F:0.181818
262369.txt P:0.000000 R:0.000000 F:0.000000
598395.txt P:0.000000 R:0.000000 F:0.000000
635794.txt P:0.000000 R:0.000000 F:0.000000
627767.txt P:0.000000 R:0.000000 F:0.000000
628048.txt P:0.000000 R:0.000000 F:0.000000
608176.txt P:0.000000 R:0.000000 F:0.000000
266829.txt P:0.000000 R:0.000000 F:0.000000
586898.txt P:0.000000 R:0.000000 F:0.000000
604155.txt P:0.000000 R:0.000000 F:0.000000
312215.txt P:0.200000 R:0.166667 F:0.181818
298815.txt P:0.000000 R:0.000000 F:0.000000
224496.txt P:0.000000 R:0.000000 F:0.000000
369880.txt P:0.000000 R:0.000000 F:0.000000
589234.txt P:0.000000 R:0.000000 F:0.000000
596513.txt P:0.000000 R:0.000000 F:0.000000
293906.txt P:0.000000 R:0.000000 F:0.000000
258201.txt P:0.250000 R:0.250000 F:0.250000
1014532.txt P:0.000000 R:0.000000 F:0.000000
564404.txt P:0.000000 R:0.000000 F:0.000000
320425.txt P:0.000000 R:0.000000 F:0.000000
1024162.txt P:0.000000 R:0.000000 F:0.000000
295659.txt P:0.200000 R:0.250000 F:0.222222
608119.txt P:0.000000 R:0.000000 F:0.000000
1039213.txt P:0.000000 R:0.000000 F:0.000000
637247.txt P:0.000000 R:0.000000 F:0.000000
316521.txt P:0.000000 R:0.000000 F:0.000000
1011932.txt P:0.000000 R:0.000000 F:0.000000
589754.txt P:0.000000 R:0.000000 F:0.000000
338410.txt P:0.000000 R:0.000000 F:0.000000
584535.txt P:0.000000 R:0.000000 F:0.000000
126248.txt P:0.000000 R:0.000000 F:0.000000
628040.txt P:0.000000 R:0.000000 F:0.000000
571650.txt P:0.000000 R:0.000000 F:0.000000
312991.txt P:0.000000 R:0.000000 F:0.000000
312456.txt P:0.200000 R:0.200000 F:0.200000
358700.txt P:0.200000 R:0.142857 F:0.166667
256395.txt P:0.200000 R:0.166667 F:0.181818
176684.txt P:0.000000 R:0.000000 F:0.000000
241662.txt P:0.200000 R:0.166667 F:0.181818
244582.txt P:0.000000 R:0.000000 F:0.000000
606888.txt P:0.000000 R:0.000000 F:0.000000
330351.txt P:0.200000 R:0.333333 F:0.250000
292410.txt P:0.000000 R:0.000000 F:0.000000
213880.txt P:0.000000 R:0.000000 F:0.000000
300125.txt P:0.200000 R:0.200000 F:0.200000
587379.txt P:0.000000 R:0.000000 F:0.000000
501056.txt P:0.200000 R:0.200000 F:0.200000
593353.txt P:0.000000 R:0.000000 F:0.000000
1005453.txt P:0.000000 R:0.000000 F:0.000000
Average: P:0.053500 R:0.055040 F:0.053138
